gcc -Wall -gdwarf-4 -o  systemsim systemsim.c -lpthread -lrt -lm
./systemsim FCFS INF 10 20 fixed 50 10 100 0.7 0.2 0.1 0.6 5 300 0
Generator thread exited allp_count
         pid,          arv,         dept,          cpu,        waitr,        turna,     n-bursts,         n-d1,         n-d2
           1,            0,           52,           50,            1,           52,            1,            0,            0
           2,            0,          360,          100,          237,          360,            2,            0,            1
           3,            0,          156,           50,          102,          156,            1,            0,            0
           4,            1,          461,          100,          348,          460,            2,            1,            0
           5,            1,          257,           50,          205,          256,            1,            0,            0
           6,           53,          309,           50,          206,          256,            1,            0,            0
           7,          156,          410,           50,          204,          254,            1,            0,            0
           8,          259,          511,           50,          202,          252,            1,            0,            0
           9,          316,          814,          100,          388,          498,            2,            1,            0
          10,          368,          612,           50,          194,          244,            1,            0,            0
          11,          416,          663,           50,          197,          247,            1,            0,            0
          12,          463,          966,          100,          391,          503,            2,            1,            0
          13,          519,         1520,          200,          772,         1001,            4,            3,            0
          14,          622,          865,           50,          193,          243,            1,            0,            0
          15,          663,          915,           50,          202,          252,            1,            0,            0
          16,          828,         1066,           50,          187,          238,            1,            0,            0
          17,          879,         1116,           50,          187,          237,            1,            0,            0
          18,          916,         1420,          100,          391,          504,            2,            1,            0
          19,          968,         1218,           50,          200,          250,            1,            0,            0
          20,         1074,         1319,           50,          195,          245,            1,            0,            0
          21,         1137,         1621,          100,          374,          484,            2,            1,            0
          22,         1220,         1470,           50,          200,          250,            1,            0,            0
          23,         1322,         1571,           50,          199,          249,            1,            0,            0
          24,         1420,         1925,          100,          394,          505,            2,            1,            0
          25,         1471,         1722,           50,          201,          251,            1,            0,            0
          26,         1523,         1773,           50,          199,          250,            1,            0,            0
          27,         1575,         1823,           50,          198,          248,            1,            0,            0
          28,         1626,         2378,          150,          581,          752,            3,            2,            0
          29,         1724,         2227,          100,          393,          503,            2,            1,            0
          30,         1775,         2024,           50,          200,          249,            1,            0,            0
          31,         1827,         2075,           50,          198,          248,            1,            0,            0
          32,         1930,         2429,          100,          388,          499,            2,            1,            0
          33,         2027,         2278,           50,          200,          251,            1,            0,            0
          34,         2079,         2328,           50,          199,          249,            1,            0,            0
          35,         2228,         2480,           50,          201,          252,            1,            0,            0
          36,         2285,         2782,          100,          387,          497,            2,            1,            0
          37,         2332,         2581,           50,          198,          249,            1,            0,            0
          38,         2388,         2631,           50,          193,          243,            1,            0,            0
          39,         2440,         2933,          100,          373,          493,            2,            0,            1
          40,         2487,         2732,           50,          195,          245,            1,            0,            0
          41,         2589,         2833,           50,          194,          244,            1,            0,            0
          42,         2635,         2883,           50,          198,          248,            1,            0,            0
          43,         2743,         2984,           50,          191,          241,            1,            0,            0
          44,         2784,         3033,           50,          200,          249,            1,            0,            0
          45,         2841,         3589,          150,          558,          748,            3,            0,            2
          46,         2893,         3135,           50,          191,          242,            1,            0,            0
          47,         2934,         3186,           50,          201,          252,            1,            0,            0
          48,         2985,         3236,           50,          201,          251,            1,            0,            0
          49,         3046,         3286,           50,          190,          240,            1,            0,            0
          50,         3151,         4144,          200,          750,          993,            4,            2,            1
          51,         3187,         3438,           50,          200,          251,            1,            0,            0
          52,         3238,         3488,           50,          200,          250,            1,            0,            0
          53,         3290,         3538,           50,          198,          248,            1,            0,            0
          54,         3439,         3690,           50,          201,          251,            1,            0,            0
          55,         3490,         3992,          100,          382,          502,            2,            0,            1
          56,         3541,         4042,          100,          382,          501,            2,            0,            1
          57,         3598,         3841,           50,          193,          243,            1,            0,            0
          58,         3691,         4194,          100,          393,          503,            2,            1,            0
          59,         3845,         4092,           50,          197,          247,            1,            0,            0
          60,         3993,         4245,           50,          201,          252,            1,            0,            0
          61,         4049,         4295,           50,          196,          246,            1,            0,            0
          62,         4105,         4597,          100,          372,          492,            2,            0,            1
          63,         4158,         4396,           50,          188,          238,            1,            0,            0
          64,         4199,         4446,           50,          197,          247,            1,            0,            0
          65,         4251,         4497,           50,          195,          246,            1,            0,            0
          66,         4297,         4799,          100,          392,          502,            2,            1,            0
          67,         4405,         4648,           50,          193,          243,            1,            0,            0
          68,         4451,         4698,           50,          197,          247,            1,            0,            0
          69,         4497,         4749,           50,          201,          252,            1,            0,            0
          70,         4600,         4849,           50,          199,          249,            1,            0,            0
          71,         4661,         4900,           50,          189,          239,            1,            0,            0
          72,         4707,         4950,           50,          193,          243,            1,            0,            0
          73,         4759,         5000,           50,          191,          241,            1,            0,            0
          74,         4800,         5808,          200,          757,         1008,            4,            1,            2
          75,         4857,         5858,          200,          770,         1001,            4,            3,            0
          76,         4903,         5152,           50,          198,          249,            1,            0,            0
          77,         4964,         5455,          100,          379,          491,            2,            1,            0
          78,         5005,         5253,           50,          198,          248,            1,            0,            0
          79,         5161,         5656,          100,          375,          495,            2,            0,            1
          80,         5259,         5757,          100,          388,          498,            2,            1,            0
          81,         5456,         5707,           50,          201,          251,            1,            0,            0
          82,         5666,         5909,           50,          193,          243,            1,            0,            0
          83,         5707,         6212,          100,          394,          505,            2,            1,            0
          84,         5759,         6009,           50,          200,          250,            1,            0,            0
          85,         5815,         6059,           50,          194,          244,            1,            0,            0
          86,         5867,         6110,           50,          192,          243,            1,            0,            0
          87,         5929,         6161,           50,          181,          232,            1,            0,            0
          88,         6020,         6514,          100,          383,          494,            2,            1,            0
          89,         6062,         6817,          150,          585,          755,            3,            2,            0
          90,         6119,         6363,           50,          194,          244,            1,            0,            0
          91,         6171,         6414,           50,          193,          243,            1,            0,            0
          92,         6217,         6464,           50,          197,          247,            1,            0,            0
          93,         6377,         6615,           50,          188,          238,            1,            0,            0
          94,         6433,         6666,           50,          182,          233,            1,            0,            0
          95,         6464,         6716,           50,          202,          252,            1,            0,            0
          96,         6521,         6767,           50,          195,          246,            1,            0,            0
          97,         6618,         6867,           50,          199,          249,            1,            0,            0
          98,         6670,         7169,          100,          377,          499,            2,            0,            1
          99,         6732,         6968,           50,          186,          236,            1,            0,            0
         100,         6768,         7017,           50,          200,          249,            1,            0,            0
         101,         6819,         7068,           50,          199,          249,            1,            0,            0
         102,         6872,         7118,           50,          196,          246,            1,            0,            0
         103,         6980,         7727,          150,          567,          747,            3,            1,            1
         104,         7025,         7523,          100,          386,          498,            2,            1,            0
         105,         7071,         7321,           50,          200,          250,            1,            0,            0
         106,         7124,         7371,           50,          197,          247,            1,            0,            0
         107,         7170,         7422,           50,          202,          252,            1,            0,            0
         108,         7324,         7574,           50,          199,          250,            1,            0,            0
         109,         7385,         7880,          100,          385,          495,            2,            1,            0
         110,         7432,         7674,           50,          192,          242,            1,            0,            0
         111,         7529,         7779,           50,          200,          250,            1,            0,            0
         112,         7576,         7829,           50,          203,          253,            1,            0,            0
         113,         7678,         7930,           50,          202,          252,            1,            0,            0
