gcc -Wall -gdwarf-4 -o  systemsim systemsim.c -lpthread -lrt -lm
./systemsim RR 50 10 20 fixed 50 10 100 0.7 0.2 0.1 0.6 5 300 0
Generator thread exited allp_count
         pid,          arv,         dept,          cpu,        waitr,        turna,     n-bursts,         n-d1,         n-d2
           1,            0,           52,           50,            0,           52,            1,            0,            0
           2,            0,          102,           50,           51,          102,            1,            0,            0
           3,            0,          404,          100,          292,          404,            2,            1,            0
           4,            0,          455,          100,          343,          455,            2,            1,            0
           5,            1,          505,          100,          394,          504,            2,            1,            0
           6,           52,          304,           50,          201,          252,            1,            0,            0
           7,          103,          354,           50,          201,          251,            1,            0,            0
           8,          314,          556,           50,          191,          242,            1,            0,            0
           9,          366,          607,           50,          190,          241,            1,            0,            0
          10,          412,          657,           50,          195,          245,            1,            0,            0
          11,          459,          707,           50,          198,          248,            1,            0,            0
          12,          510,          758,           50,          198,          248,            1,            0,            0
          13,          572,          808,           50,          186,          236,            1,            0,            0
          14,          619,         1110,          100,          381,          491,            2,            1,            0
          15,          660,         1160,          100,          390,          500,            2,            1,            0
          16,          712,         1211,          100,          387,          499,            2,            1,            0
          17,          758,         1261,          100,          394,          503,            2,            1,            0
          18,          809,         1816,          200,          763,         1007,            4,            2,            1
          19,         1126,         1362,           50,          186,          236,            1,            0,            0
          20,         1162,         1412,           50,          200,          250,            1,            0,            0
          21,         1213,         1463,           50,          200,          250,            1,            0,            0
          22,         1275,         2017,          150,          561,          742,            3,            1,            1
          23,         1367,         1615,           50,          198,          248,            1,            0,            0
          24,         1413,         1665,           50,          202,          252,            1,            0,            0
          25,         1465,         1716,           50,          200,          251,            1,            0,            0
          26,         1624,         1867,           50,          192,          243,            1,            0,            0
          27,         1701,         2167,          100,          346,          466,            2,            0,            1
          28,         1717,         1967,           50,          200,          250,            1,            0,            0
          29,         1819,         2067,           50,          198,          248,            1,            0,            0
          30,         1871,         2117,           50,          196,          246,            1,            0,            0
          31,         1968,         2723,          150,          575,          755,            3,            1,            1
          32,         2018,         2521,          100,          392,          503,            2,            1,            0
          33,         2070,         2319,           50,          198,          249,            1,            0,            0
          34,         2126,         2622,          100,          386,          496,            2,            1,            0
          35,         2183,         2419,           50,          186,          236,            1,            0,            0
          36,         2321,         2571,           50,          200,          250,            1,            0,            0
          37,         2424,         2672,           50,          198,          248,            1,            0,            0
          38,         2522,         2773,           50,          201,          251,            1,            0,            0
          39,         2579,         3074,          100,          384,          495,            2,            1,            0
          40,         2635,         2874,           50,          189,          239,            1,            0,            0
          41,         2676,         2924,           50,          198,          248,            1,            0,            0
          42,         2728,         2975,           50,          197,          247,            1,            0,            0
          43,         2779,         3024,           50,          196,          245,            1,            0,            0
          44,         2876,         3125,           50,          199,          249,            1,            0,            0
          45,         2932,         3175,           50,          193,          243,            1,            0,            0
          46,         2979,         3225,           50,          196,          246,            1,            0,            0
          47,         3029,         3275,           50,          196,          246,            1,            0,            0
          48,         3075,         3579,          100,          394,          504,            2,            1,            0
