gcc -Wall -gdwarf-4 -o  systemsim systemsim.c -lpthread -lrt -lm
./systemsim SJF INF 10 20 fixed 50 10 100 0.7 0.2 0.1 0.6 5 300 0
Generator thread exited allp_count
         pid,          arv,         dept,          cpu,        waitr,        turna,     n-bursts,         n-d1,         n-d2
           1,            0,        21348,           50,        21297,        21348,            1,            0,            0
           2,            0,        21298,           50,        21246,        21298,            1,            0,            0
           3,            1,        21197,           50,        21146,        21196,            1,            0,            0
           4,            1,          309,          150,          118,          308,            3,            0,            2
           5,            1,           52,           50,            1,           51,            1,            0,            0
           6,           52,          153,           50,           50,          101,            1,            0,            0
           7,          155,          360,          100,           89,          205,            2,            1,            0
           8,          310,          410,           50,           50,          100,            1,            0,            0
           9,          377,          561,          100,           63,          184,            2,            0,            1
          10,          419,          613,          100,           83,          194,            2,            1,            0
          11,          564,          672,           50,           57,          108,            1,            0,            0
          12,          622,          722,           50,           50,          100,            1,            0,            0
          13,          679,          772,           50,           43,           93,            1,            0,            0
          14,          726,          823,           50,           47,           97,            1,            0,            0
          15,          787,          974,          100,           77,          187,            2,            1,            0
          16,          824,          924,           50,           49,          100,            1,            0,            0
          17,          927,         1023,           50,           47,           96,            1,            0,            0
          18,          979,         1074,           50,           45,           95,            1,            0,            0
          19,         1024,         1124,           50,           50,          100,            1,            0,            0
          20,         1081,         1275,          100,           83,          194,            2,            1,            0
          21,         1127,         1326,          100,           89,          199,            2,            1,            0
          22,         1286,         1377,           50,           40,           91,            1,            0,            0
          23,         1333,         1427,           50,           44,           94,            1,            0,            0
          24,         1395,         1477,           50,           32,           82,            1,            0,            0
          25,         1441,         1629,          100,           68,          188,            2,            0,            1
          26,         1482,         1579,           50,           46,           97,            1,            0,            0
          27,         1581,         1782,          100,           90,          201,            2,            1,            0
          28,         1633,         1730,           50,           47,           97,            1,            0,            0
          29,         1735,         1834,           50,           49,           99,            1,            0,            0
          30,         1783,         1885,           50,           51,          102,            1,            0,            0
          31,         1845,         1935,           50,           40,           90,            1,            0,            0
          32,         1891,         1985,           50,           44,           94,            1,            0,            0
          33,         1937,         2035,           50,           49,           98,            1,            0,            0
          34,         1989,         2085,           50,           46,           96,            1,            0,            0
          35,         2039,         2236,          100,           86,          197,            2,            1,            0
          36,         2102,         2287,          100,           75,          185,            2,            1,            0
          37,         2246,         2337,           50,           41,           91,            1,            0,            0
          38,         2288,         2388,           50,           49,          100,            1,            0,            0
          39,         2341,         2438,           50,           47,           97,            1,            0,            0
          40,         2388,         2488,           50,           50,          100,            1,            0,            0
          41,         2439,         2539,           50,           50,          100,            1,            0,            0
          42,         2491,         2590,           50,           48,           99,            1,            0,            0
          43,         2547,         2640,           50,           43,           93,            1,            0,            0
          44,         2595,         2791,          100,           76,          196,            2,            0,            1
          45,         2651,         2942,          150,          121,          291,            3,            2,            0
          46,         2796,         2892,           50,           46,           96,            1,            0,            0
          47,         2894,         3194,          150,          131,          300,            3,            2,            0
          48,         2946,         3143,          100,           87,          197,            2,            1,            0
          49,         3150,         3345,          100,           84,          195,            2,            1,            0
          50,         3201,         3295,           50,           44,           94,            1,            0,            0
          51,         3324,         3497,          100,           52,          173,            2,            0,            1
          52,         3360,         3446,           50,           36,           86,            1,            0,            0
          53,         3448,         3547,           50,           49,           99,            1,            0,            0
          54,         3499,         3598,           50,           48,           99,            1,            0,            0
          55,         3556,         3649,           50,           43,           93,            1,            0,            0
          56,         3608,         3699,           50,           41,           91,            1,            0,            0
          57,         3649,         3750,           50,           51,          101,            1,            0,            0
          58,         3701,         3800,           50,           49,           99,            1,            0,            0
          59,         3752,         3851,           50,           49,           99,            1,            0,            0
          60,         3804,         3901,           50,           47,           97,            1,            0,            0
          61,         3855,         4152,          150,          126,          297,            3,            2,            0
          62,         3922,         4001,           50,           30,           79,            1,            0,            0
          63,         4008,         4102,           50,           44,           94,            1,            0,            0
          64,         4106,         4304,          100,           86,          198,            2,            1,            0
          65,         4153,         4253,           50,           50,          100,            1,            0,            0
          66,         4261,         4354,           50,           43,           93,            1,            0,            0
          67,         4307,         4405,           50,           48,           98,            1,            0,            0
          68,         4359,         4455,           50,           46,           96,            1,            0,            0
          69,         4420,         4506,           50,           35,           86,            1,            0,            0
          70,         4456,         4658,          100,           91,          202,            2,            1,            0
          71,         4513,         4607,           50,           43,           94,            1,            0,            0
          72,         4612,         4708,           50,           46,           96,            1,            0,            0
          73,         4669,         4758,           50,           39,           89,            1,            0,            0
          74,         4710,         5009,          150,          128,          299,            3,            2,            0
          75,         4772,         5059,          150,          107,          287,            3,            1,            1
          76,         5012,         5210,          100,           88,          198,            2,            1,            0
          77,         5064,         5160,           50,           46,           96,            1,            0,            0
          78,         5182,         5261,           50,           29,           79,            1,            0,            0
          79,         5213,         5412,          100,           89,          199,            2,            1,            0
          80,         5270,         5362,           50,           42,           92,            1,            0,            0
          81,         5373,         5665,          150,          120,          292,            3,            2,            0
          82,         5414,         5615,          100,           89,          201,            2,            1,            0
          83,         5626,         5816,          100,           79,          190,            2,            1,            0
          84,         5667,         5766,           50,           49,           99,            1,            0,            0
          85,         5770,         5867,           50,           46,           97,            1,            0,            0
          86,         5826,         5917,           50,           41,           91,            1,            0,            0
          87,         5868,         6068,          100,           88,          200,            2,            1,            0
          88,         5919,         6118,          100,           90,          199,            2,            1,            0
          89,         6077,         6168,           50,           41,           91,            1,            0,            0
          90,         6118,         6420,          150,          131,          302,            3,            2,            0
          91,         6175,         6269,           50,           44,           94,            1,            0,            0
          92,         6273,         6370,           50,           47,           97,            1,            0,            0
          93,         6370,         6875,          250,          202,          505,            5,            3,            1
          94,         6422,         6521,           50,           49,           99,            1,            0,            0
          95,         6529,         6623,           50,           43,           94,            1,            0,            0
          96,         6633,         6724,           50,           41,           91,            1,            0,            0
          97,         6741,         6925,          100,           64,          184,            2,            0,            1
          98,         6890,         7075,          100,           74,          185,            2,            1,            0
          99,         6926,         7126,          100,           90,          200,            2,            1,            0
         100,         7079,         7176,           50,           47,           97,            1,            0,            0
         101,         7130,         7226,           50,           46,           96,            1,            0,            0
         102,         7177,         7277,           50,           50,          100,            1,            0,            0
         103,         7233,         7327,           50,           44,           94,            1,            0,            0
         104,         7279,         7478,          100,           89,          199,            2,            1,            0
         105,         7331,         7428,           50,           47,           97,            1,            0,            0
         106,         7429,         7528,           50,           49,           99,            1,            0,            0
         107,         7480,         7580,           50,           49,          100,            1,            0,            0
         108,         7532,         7630,           50,           48,           98,            1,            0,            0
         109,         7584,         7681,           50,           46,           97,            1,            0,            0
         110,         7631,         7731,           50,           50,          100,            1,            0,            0
         111,         7687,         7782,           50,           44,           95,            1,            0,            0
         112,         7733,         7832,           50,           49,           99,            1,            0,            0
         113,         7785,         7882,           50,           47,           97,            1,            0,            0
         114,         7837,         8033,          100,           77,          196,            2,            0,            1
         115,         7883,         7983,           50,           50,          100,            1,            0,            0
         116,         8000,         8184,          100,           64,          184,            2,            0,            1
         117,         8057,         8134,           50,           26,           77,            1,            0,            0
         118,         8145,         8234,           50,           39,           89,            1,            0,            0
         119,         8186,         8386,          100,           90,          200,            2,            1,            0
         120,         8253,         8335,           50,           32,           82,            1,            0,            0
         121,         8340,         8437,           50,           46,           97,            1,            0,            0
         122,         8387,         8487,           50,           50,          100,            1,            0,            0
         123,         8438,         8537,           50,           49,           99,            1,            0,            0
         124,         8500,         8589,           50,           38,           89,            1,            0,            0
         125,         8542,         8740,          100,           88,          198,            2,            1,            0
         126,         8589,         8690,           50,           50,          101,            1,            0,            0
         127,         8694,         8790,           50,           46,           96,            1,            0,            0
         128,         8740,         8841,           50,           51,          101,            1,            0,            0
         129,         8807,         8891,           50,           34,           84,            1,            0,            0
         130,         8843,         9041,          100,           88,          198,            2,            1,            0
         131,         8894,         8992,           50,           48,           98,            1,            0,            0
         132,         8992,         9092,           50,           49,          100,            1,            0,            0
         133,         9042,         9142,           50,           50,          100,            1,            0,            0
         134,         9099,         9194,           50,           43,           95,            1,            0,            0
         135,         9146,         9244,           50,           48,           98,            1,            0,            0
         136,         9197,         9395,          100,           77,          198,            2,            0,            1
         137,         9259,         9345,           50,           36,           86,            1,            0,            0
         138,         9346,         9446,           50,           49,          100,            1,            0,            0
         139,         9398,         9496,           50,           48,           98,            1,            0,            0
         140,         9449,         9547,           50,           47,           98,            1,            0,            0
         141,         9505,         9598,           50,           42,           93,            1,            0,            0
         142,         9557,         9649,           50,           41,           92,            1,            0,            0
         143,         9604,         9699,           50,           45,           95,            1,            0,            0
         144,         9661,         9749,           50,           38,           88,            1,            0,            0
         145,         9707,         9800,           50,           43,           93,            1,            0,            0
         146,         9753,         9951,          100,           78,          198,            2,            0,            1
         147,         9809,         9900,           50,           41,           91,            1,            0,            0
         148,         9902,        10000,           50,           49,           98,            1,            0,            0
         149,         9954,        10253,          150,          126,          299,            3,            2,            0
         150,        10020,        10101,           50,           31,           81,            1,            0,            0
         151,        10113,        10404,          150,          101,          291,            3,            0,            2
